journal_name,ranking,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Harvard Law Review,1,0,69,83,85,97,95,109,97,89,77,80,75,82,86,98,88,92,112,66,86,113,113,82,120
Stanford Law Review,2,0,37,32,75,35,49,68,39,50,33,34,30,31,29,29,28,28,43,38,26,25,25,11,25
Yale Law Journal,3,0,51,56,61,54,51,83,45,40,44,47,55,45,71,66,58,49,42,46,38,40,33,25,39
Columbia Law Review,4,56,59,65,57,65,59,53,37,45,45,45,37,49,40,38,46,40,54,48,47,40,60,14,49
California Law Review,5,66,36,45,40,40,35,43,63,37,45,57,34,41,32,40,33,38,44,48,46,48,50,6,30
Georgetown Law Journal,6,0,51,54,29,29,53,48,60,51,43,42,44,54,40,41,39,39,36,40,39,36,29,14,32
UCLA Law Review,7,0,45,48,47,35,30,31,38,43,41,38,37,36,36,38,32,32,32,37,43,0,38,24,21
Vanderbilt Law Review,8,53,58,39,34,42,37,45,45,42,54,36,40,39,37,46,36,46,46,47,39,38,38,12,40
Michigan Law Review,9,0,59,56,82,61,49,68,73,57,54,46,49,46,48,43,44,42,38,48,51,45,45,49,46
New York University Law Review,10,39,43,40,44,43,38,50,42,49,50,45,43,45,47,51,47,38,56,43,40,37,45,35,32
Minnesota Law Review,11,0,35,32,46,44,44,45,41,43,52,45,48,46,49,53,52,52,47,58,45,47,46,29,48
Notre Dame Law Review,12,0,39,37,38,46,52,44,43,47,46,47,53,54,57,59,56,54,59,59,60,54,57,55,54
University of Pennsylvania Law Review,13,0,48,38,43,42,44,43,45,40,40,51,42,44,41,42,43,43,42,39,39,41,47,10,43
Northwestern University Law Review,14,0,39,39,41,36,45,54,58,68,54,46,47,54,50,40,33,36,47,43,33,43,35,31,50
Duke Law Journal,15,0,38,44,27,35,37,28,35,44,62,37,36,34,42,37,33,32,41,33,34,38,36,33,31
Boston College Law Review,16,0,30,25,39,34,24,28,33,27,39,33,59,64,72,55,59,60,60,102,78,61,72,29,43
Fordham Law Review,17,0,83,108,68,85,85,89,109,80,89,80,82,84,100,92,96,93,105,103,81,78,94,63,105
Cornell Law Review,18,0,32,40,41,33,35,37,35,39,34,34,42,36,33,34,35,30,31,35,36,40,36,36,33
Iowa Law Review,19,0,31,44,29,44,36,37,42,50,45,39,53,62,48,64,76,49,57,59,64,52,58,30,64
Texas Law Review,20,0,49,58,40,44,53,52,46,43,45,52,70,47,48,52,49,46,45,37,34,38,36,36,47
University of Chicago Law Review,21,41,43,58,60,47,51,45,63,56,44,54,39,37,44,49,45,46,60,42,56,54,49,4,46
Virginia Law Review,22,39,42,35,32,40,38,46,45,38,43,35,45,38,36,35,0,36,31,29,32,30,30,8,26
U.C. Davis Law Review,23,0,30,32,31,38,36,44,45,40,32,37,36,52,33,46,39,39,42,53,53,61,40,42,58
Boston University Law Review,24,33,37,33,29,39,35,40,30,45,60,86,63,58,62,66,63,60,47,40,72,54,52,19,6
Indiana Law Journal,25,53,38,26,28,26,36,55,49,0,43,42,33,52,41,41,44,40,36,41,36,31,31,27,29
Yale Journal on Regulation,26,9,7,9,11,8,9,10,8,16,17,10,9,16,11,21,14,14,0,22,15,18,28,29,20
Yale Law Journal Forum,27,0,0,0,0,0,0,0,0,0,0,0,0,31,29,28,31,34,43,51,45,29,30,40,52
University of Illinois Law Review,28,44,38,38,0,39,0,26,42,54,37,39,63,44,51,56,57,61,56,47,45,42,46,0,42
William & Mary Law Review,29,0,37,39,38,37,39,39,52,52,43,46,30,42,41,44,47,45,40,45,43,36,37,40,45
George Washington Law Review,30,0,44,38,31,51,42,38,35,53,50,49,52,43,48,56,66,45,46,42,33,31,34,10,32
Washington Law Review,31,33,30,27,30,34,23,23,31,16,21,25,26,33,40,38,40,39,37,43,43,43,34,7,16
Harvard Journal of Law & Technology,32,0,9,13,14,11,12,13,16,16,13,15,13,15,15,14,15,16,30,26,14,16,14,14,13
Berkeley Technology Law Journal,33,41,40,46,40,49,54,46,43,42,47,44,46,41,41,36,40,42,37,37,31,33,42,35,19
Southern California Law Review,34,0,49,32,27,25,44,27,25,25,25,29,27,38,31,33,35,34,27,24,36,27,29,31,15
